Year,Day,Hour,Minutes,Status,Activity,Temp,Blocknumber,Latitude,Longitude,Altitude,Speed,Hdop,Num_of_sats,Fix_time,2D/3D
22,96,22,0,2,0,27,123,-32.592269,152.271581,0,0,1.1,8,38,3
22,96,23,0,2,1,27,124,-32.590934,152.273361,9,0,0.8,10,38,3
22,97,0,0,2,77,25,125,-32.594965,152.252532,8,0.3,0.7,10,38,3
22,97,1,0,2,23,25,126,-32.607967,152.233306,0,0,1,7,38,3
22,97,2,0,2,54,22,127,-32.61648,152.211563,12,0,0.8,9,38,3
22,97,3,0,2,0,24,128,-32.606791,152.23,11,0,0.9,8,39,3
22,97,4,0,2,2,25,129,-32.608565,152.232365,5,0,0.8,10,38,3
22,97,5,0,2,0,30,130,-32.608501,152.232416,22,0,0.8,10,38,3
22,97,6,0,2,3,30,131,-32.608615,152.23234,24,0,0.8,10,38,3
22,97,7,0,2,0,31,132,-32.608622,152.232365,22,0,0.8,10,38,3
22,97,8,0,2,0,31,133,-32.608469,152.232467,9,0,0.9,9,38,3
22,97,9,0,2,0,31,134,-32.60859,152.232391,16,0,0.8,9,38,3
22,97,10,0,2,2,31,135,-32.608558,152.232467,31,0,0.9,8,38,3
22,97,11,0,2,0,35,136,-32.608526,152.232543,42,0,0.8,10,38,3
22,97,12,0,2,0,36,137,-32.608488,152.232467,37,0,1,8,37,3
22,97,13,0,2,0,34,138,-32.608641,152.232391,24,0,0.8,10,38,3
22,97,14,0,2,0,31,139,-32.608628,152.232391,8,0,0.8,9,38,3
22,97,15,0,2,0,30,140,-32.608634,152.232442,17,0,0.8,9,38,3
22,97,16,0,2,48,24,141,-32.608615,152.232162,24,0.1,0.8,9,38,3
22,97,17,0,2,0,30,142,-32.609474,152.231348,29,0,0.8,10,37,3
22,97,18,0,2,0,30,143,-32.609505,152.23145,29,0,0.9,9,38,3
22,97,19,0,2,45,23,144,-32.592772,152.254135,17,0,1,8,39,3
22,97,20,0,2,42,23,145,-32.591812,152.262781,42,0.6,0.8,10,38,3
22,97,21,0,2,29,24,146,-32.587794,152.275828,11,0,0.7,11,38,3
22,97,22,0,2,47,23,147,-32.587196,152.273132,0,0,0.9,9,37,3
22,97,23,0,2,45,25,148,-32.587666,152.270385,3,0,0.8,10,38,3
22,98,0,0,2,88,25,149,-32.608062,152.244954,10,0.4,0.8,10,39,3
22,98,1,0,2,0,26,150,-32.615692,152.223642,5,0,1,7,38,3
22,98,2,0,2,0,28,151,-32.615622,152.223719,7,0,0.8,9,38,3
22,98,3,0,2,2,27,152,-32.61559,152.22349,23,0,0.8,9,38,3
22,98,4,0,2,0,28,153,-32.615679,152.22377,0,0,1.1,8,38,3
22,98,5,0,2,0,27,154,-32.61566,152.223668,10,0,1.1,7,38,3
22,98,6,0,2,0,28,155,-32.615698,152.223617,20,0,0.7,11,38,3
22,98,7,0,2,0,29,156,-32.615711,152.223617,21,0,0.8,10,38,3
22,98,8,0,2,77,26,157,-32.620454,152.206934,7,0.4,0.9,9,38,3
22,98,9,0,2,0,27,158,-32.608666,152.232416,15,0,0.7,11,37,3
22,98,10,0,2,0,28,159,-32.60866,152.232365,9,0,0.9,8,38,3
22,98,11,0,2,0,30,160,-32.608774,152.232442,29,0,0.9,9,38,3
22,98,12,0,2,0,30,161,-32.608666,152.232416,28,0,1.2,7,38,3
22,98,13,0,2,0,30,162,-32.608641,152.232416,41,0,0.9,9,37,3
22,98,14,0,2,0,30,163,-32.60866,152.232391,23,0,0.8,9,38,3
22,98,15,0,2,0,37,164,-32.608685,152.232365,20,0,0.9,8,38,3
22,98,16,0,2,0,33,165,-32.607611,152.232594,50,0,1,8,38,3
22,98,17,0,2,9,29,166,-32.607687,152.232391,35,0,0.8,9,38,3
22,98,18,0,2,52,24,167,-32.601565,152.268096,5,0,0.8,9,39,3
22,98,19,0,2,36,24,168,-32.589415,152.2698,0,0,1,8,38,3
22,98,20,0,2,21,24,169,-32.589262,152.276769,12,0.1,0.7,11,38,3
22,98,21,0,2,49,24,170,-32.588048,152.27949,5,0,0.8,10,38,3
22,98,22,0,2,81,25,171,-32.571587,152.293299,21,0.5,1.3,7,39,3
22,98,23,0,2,18,24,172,-32.588684,152.268402,5,0.1,0.8,9,38,3
22,99,0,0,2,62,23,173,-32.591011,152.265909,11,0.4,0.9,10,38,3
22,99,1,0,2,64,25,174,-32.58965,152.276565,2,0,1,7,38,3
22,99,2,0,2,70,24,175,-32.588003,152.272369,8,0.3,0.8,10,38,3
22,99,3,0,2,46,25,176,-32.569788,152.295333,17,0,0.8,9,37,3
22,99,4,0,2,2,31,177,-32.569527,152.295308,2,0,1.1,8,37,3
22,99,5,0,2,0,31,178,-32.569438,152.295359,16,0,0.8,10,40,3
22,99,6,0,2,0,33,179,-32.569515,152.295308,7,0,1,8,38,3
22,99,7,0,2,55,27,180,-32.560201,152.300114,14,0.3,0.8,10,38,3
22,99,8,0,2,34,25,181,-32.565382,152.298868,11,0.3,0.8,10,38,3
22,99,9,0,2,14,28,182,-32.60117,152.267562,19,0,0.7,11,38,3
22,99,10,0,2,11,30,183,-32.601355,152.268147,11,0,0.9,8,39,3
22,99,11,0,2,0,30,184,-32.600051,152.266316,10,0,0.9,8,38,3
22,99,12,0,2,9,31,185,-32.600814,152.267206,21,0.1,0.9,9,38,3
22,99,13,0,2,9,30,186,-32.599969,152.267512,13,0,1,8,38,3
22,99,14,0,2,0,30,187,-32.599918,152.267562,29,0,0.9,8,38,3
22,99,15,0,2,7,28,188,-32.600516,152.268351,6,0,0.9,8,38,3
22,99,16,0,2,0,30,189,-32.601088,152.268224,5,0,0.8,9,38,3
22,99,17,0,2,0,29,190,-32.601126,152.268198,15,0,0.8,10,38,3
22,99,18,0,2,5,27,191,-32.600751,152.265935,12,0.3,0.7,10,37,3
22,99,19,0,2,33,26,192,-32.599924,152.268249,10,0,1,7,38,3
22,99,20,0,2,0,27,193,-32.599873,152.268198,18,0,0.7,11,38,3
22,99,21,0,2,0,27,194,-32.599962,152.268224,4,0,1,7,38,3
22,99,22,0,2,61,25,195,-32.594704,152.258534,17,0,1,9,38,3
22,99,23,0,2,50,25,196,-32.599276,152.244471,15,0,0.8,10,38,3
22,100,0,0,2,0,25,197,-32.608641,152.232187,18,0,0.8,10,38,3
22,100,1,0,2,0,28,198,-32.608647,152.232213,13,0,1,7,38,3
22,100,2,0,2,0,28,199,-32.608444,152.23234,18,0,0.7,10,38,3
22,100,3,0,2,1,29,200,-32.608609,152.232162,18,0,0.8,9,38,3
22,100,4,0,2,0,31,201,-32.608622,152.232187,14,0,1.1,8,38,3
22,100,5,0,2,0,32,202,-32.608634,152.232187,14,0,0.7,12,38,3
22,100,6,0,2,55,26,203,-32.610078,152.237757,6,0.1,0.8,10,38,3
22,100,7,0,2,42,25,204,-32.600852,152.266647,14,0,0.8,10,38,3
22,100,8,0,2,1,28,205,-32.599981,152.267257,12,0,0.7,10,38,3
22,100,9,0,2,0,33,206,-32.599988,152.267206,3,0,0.9,9,38,3
22,100,10,0,2,1,31,207,-32.600299,152.267715,21,0,0.9,9,38,3
22,100,11,0,2,8,32,208,-32.600064,152.267715,14,0,0.7,11,38,3
22,100,12,0,2,0,35,209,-32.599867,152.26741,33,0,1.1,7,38,3
22,100,13,0,2,0,37,210,-32.599854,152.267435,17,0,1,9,38,3
22,100,14,0,2,0,33,211,-32.599873,152.267537,32,0,1.2,7,38,3
22,100,15,0,2,24,32,212,-32.601704,152.268224,9,0.3,0.7,10,38,3
22,100,16,0,2,18,30,213,-32.600363,152.265528,16,0.1,0.8,9,38,3
22,100,17,0,2,0,30,214,-32.59995,152.265553,27,0,0.8,10,37,3
22,100,18,0,2,0,28,215,-32.59995,152.264765,15,0,1.2,8,38,3
22,100,19,0,2,33,27,216,-32.598526,152.269724,12,0,0.9,9,38,3
22,100,20,0,2,75,23,217,-32.599886,152.243123,26,0.4,0.7,11,38,3
22,100,21,0,2,0,27,218,-32.61175,152.233891,4,0,0.8,10,38,3
22,100,22,0,2,40,23,219,-32.60049,152.266342,2,0,0.8,10,38,3
22,100,23,0,2,1,28,220,-32.600242,152.266367,20,0,0.9,9,38,3
22,101,0,0,2,0,30,221,-32.600331,152.266265,5,0,0.8,10,38,3
22,101,1,0,2,66,22,222,-32.588061,152.279464,0,0.4,1,7,38,3
22,101,2,0,2,78,22,223,-32.593814,152.271301,21,0,0.7,10,38,3
22,101,3,0,2,69,20,224,-32.597928,152.246836,15,0,0.8,9,38,3
22,101,4,0,2,2,25,225,-32.60859,152.232315,13,0,1.1,8,38,3
22,101,5,0,2,0,30,226,-32.608609,152.232289,11,0,0.7,12,38,3
22,101,6,0,2,4,28,227,-32.608596,152.23351,22,0,0.7,11,38,3
22,101,7,0,2,74,25,228,-32.616671,152.224075,22,0.5,0.8,10,38,3
22,101,8,0,2,62,23,229,-32.600051,152.242996,13,0.3,0.9,9,38,3
22,101,9,0,2,24,28,230,-32.599155,152.265146,13,0,0.7,11,37,3
22,101,10,0,2,4,30,231,-32.599136,152.265121,6,0,0.9,9,38,3
22,101,11,0,2,0,34,232,-32.599091,152.265172,15,0,0.7,11,38,3
22,101,12,0,2,1,34,233,-32.599155,152.265096,19,0,0.9,9,38,3
22,101,13,0,2,1,41,234,-32.599136,152.265121,6,0,0.9,9,38,3
22,101,14,0,2,2,36,235,-32.599174,152.265096,15,0,0.8,9,38,3
22,101,15,0,2,0,34,236,-32.599231,152.265096,7,0,0.8,9,38,3
22,101,16,0,2,16,32,237,-32.599467,152.26329,13,0,0.8,9,38,3
22,101,17,0,2,9,30,238,-32.600166,152.265274,19,0,0.8,10,38,3
22,101,18,0,2,23,29,239,-32.600376,152.267334,12,0,0.7,10,39,3
22,101,19,0,2,5,29,240,-32.599492,152.266977,7,0,0.9,8,38,3
22,101,20,0,2,95,26,241,-32.60805,152.231959,30,0.3,0.7,11,38,3
22,101,21,0,2,0,32,242,-32.608247,152.229975,12,0,0.9,9,38,3
22,101,22,0,2,0,31,243,-32.608234,152.230026,20,0,0.8,10,38,3
22,101,23,0,2,0,30,244,-32.608208,152.23,14,0,0.8,9,38,3
22,102,0,0,2,17,27,245,-32.60852,152.232416,10,0,0.8,10,38,3
22,102,1,0,2,79,26,246,-32.598036,152.267384,0,0,0.9,8,38,3
22,102,2,0,2,51,25,247,-32.590292,152.278447,7,0.3,0.8,9,38,3
22,102,3,0,2,6,25,248,-32.599835,152.267232,11,0,0.9,8,39,3
22,102,4,0,2,0,29,249,-32.599829,152.267257,0,0,1.2,7,38,3
22,102,5,0,2,0,30,250,-32.599899,152.267232,6,0,0.9,9,38,3
22,102,6,0,2,0,31,251,-32.599899,152.267232,11,0,0.8,10,38,3
22,102,7,0,2,38,26,252,-32.601971,152.261281,17,0.4,0.8,10,38,3
22,102,8,0,2,1,28,253,-32.599975,152.247141,25,0,0.7,11,38,3
22,102,9,0,2,0,30,254,-32.599937,152.247039,22,0,0.7,11,38,3
22,102,10,0,2,8,26,255,-32.608488,152.232467,18,0,0.7,10,38,3
22,102,11,0,2,0,32,256,-32.608514,152.232442,11,0,0.9,7,38,3
22,102,12,0,2,0,32,257,-32.608488,152.232518,25,0,1.1,7,38,3
22,102,13,0,2,6,36,258,-32.608469,152.232671,43,0,0.9,8,38,3
22,102,14,0,2,1,35,259,-32.608634,152.232569,16,0,0.8,9,38,3
22,102,15,0,2,9,31,260,-32.607395,152.232365,28,0,0.8,9,38,3
22,102,16,0,2,0,30,261,-32.608584,152.23295,22,0,0.8,9,38,3
22,102,17,0,2,11,30,262,-32.608304,152.232645,13,0.2,0.9,8,39,3
22,102,18,0,2,73,25,263,-32.626557,152.201034,0,0,0.8,9,38,3
22,102,19,0,2,44,24,264,-32.608596,152.232315,17,0,0.9,9,38,3
22,102,20,0,2,57,24,265,-32.598456,152.268274,8,0,0.8,9,38,3
22,102,21,0,2,5,25,266,-32.595296,152.271937,17,0,0.8,10,38,3
