Individual,Sex,Pack,Status,Session,PackAdultsF,PackAdultsM,PackAdults,PupsInPackF,PupsInPackM,PupsTot,PackTot
MBF1701,F,YG,Dominant,1,1,1,2,0,2,2,4
UOF2009,F,WT,SubDominant,1,2,1,3,2,3,5,8
UOF1501,F,JB,Dominant,1,1,1,2,3,4,7,9
PCM1601,M,SL,Dominant,1,5,3,8,2,2,4,12
SLF1501,F,SL,Dominant,1,5,3,8,2,2,4,12
SLM2005,M,SL,SubDominant,1,5,3,8,2,2,4,12
SLF1901,F,SL,SubDominant,1,5,3,8,2,2,4,12
UOM1707,M,WT,Dominant,1,2,1,3,2,3,5,8
UOF1801,F,MB,Dominant,1,1,3,4,0,0,0,4
UOM2001,M,MB,SubDominant,1,1,3,4,0,0,0,4
UOM2002,M,MB,SubDominant,1,1,3,4,0,0,0,4
UOM1701,M,MB,Dominant,1,1,3,4,0,0,0,4
UOM2012,M,UNK,SubDominant,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UOF2013,F,UNK,SubDominant,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UOM2008,M,JB,Dominant,1,1,1,2,3,4,7,9
SLF2002,F,SL,SubDominant,1,5,3,8,2,2,4,12
UOM2007,M,YG,Dominant,1,1,1,2,0,2,2,4
SLF2003,F,SL,SubDominant,1,5,3,8,2,2,4,12
UOF1906,F,WT,Dominant,1,2,1,3,2,3,5,8
UOM1603,M,UNK,SubDominant,1,N/A,N/A,N/A,N/A,N/A,,N/A
SLF2001,F,SL,SubDominant,1,5,3,8,2,2,4,12
UOF1709,F,YH,Dominant,1,1,1,2,0,0,0,2
UOF2011,F,SL,SubDominant,1,5,3,8,2,2,4,12
UOF2010,F,UNK,SubDominant,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UOM2004,M,YH,Dominant,1,1,1,2,0,0,0,2
SLM1902,M,SL,SubDominant,1,5,3,8,2,2,4,12
MBF1701,F,YG,Dominant,2,1,2,3,1,2,3,6
UOF2009,F,WT,SubDominant,2,4,2,6,4,1,5,11
SLF1501,F,SL,Dominant,2,3,1,4,4,1,5,9
UOM1707,M,WT,Dominant,2,4,2,6,4,1,5,11
UOF1801,F,MB,Dominant,2,1,1,2,0,0,0,2
UOM2001,M,MB,Dominant,2,1,1,2,0,0,0,2
UOM2002,M,SL,Dominant,2,3,1,4,4,1,5,9
UOM2012,M,SB,Dominant,2,1,1,2,2,3,5,7
UOF2013,F,SB,Dominant,2,1,1,2,2,3,5,7
UOM2008,M,JB,Dominant,2,1,2,3,0,0,0,3
JBU2101,M,JB,SubDominant,2,1,2,3,0,0,0,3
UOM2007,M,YG,Dominant,2,1,2,3,1,2,3,6
UOF1906,F,WT,Dominant,2,4,2,6,4,1,5,11
WTU2104,M,WT,SubDominant,2,4,2,6,4,1,5,11
UOF1709,F,YH,Dominant,2,1,1,2,0,0,0,2
WTU2102,F,WT,SubDominant,2,4,2,6,4,1,5,11
WTU2105,F,WT,SubDominant,2,4,2,6,4,1,5,11
SLF2102,F,SL,SubDominant,2,3,1,4,4,1,5,9
YGM2102,M,YG,SubDominant,2,1,2,3,1,2,3,6
UOM2004,M,YH,Dominant,2,1,1,2,0,0,0,2
UOF2101,F,JB,Dominant,2,1,2,3,0,0,0,3
SLF2105,F,SL,SubDominant,2,3,1,4,4,1,5,9
